"Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","Zinco","Boro","Cobre","Ferro","Manganes","MateriaOrganica","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","TeorDeArgila","WGS84_ALT","GPS_DATE"
"1",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,0,0,0,0,0,0,15.22,55.58,39.8,12.1,3.7,5,0,857.3,140329
"2",-1.00071064146674,-1.00011670496433,102,4.86,1.2,0.37,147,21,11.5,5.74,0,0,0,0,0,0,17.4,37.01,27.9,6.9,2.2,4.85,0,848,140329
"3",-1.00065653670689,-1.00013805640171,103,5.49,1.83,0,132,12.3,0,4.51,0,0,0,0,0,0,13.2,58.03,41.6,13.9,2.6,5.19,0,859.7,140329
"4",-1.00061146999228,-1.00015342172795,104,6.51,1.94,0,214,25.3,0,3.87,0,0,0,0,0,0,14.09,63.88,46.2,13.8,3.9,5.27,0,863,140329
"5",-1.00051237195715,-1.00015257350068,105,4.37,1.25,0.15,171,13.8,8.1,4.32,0,0,0,0,0,0,13.98,43.35,31.3,8.9,3.1,4.88,0,862.9,140329
"6",-1.00055925003623,-1.00013958449688,106,5.04,1.34,0,147,13.3,0,4.22,0,0,0,0,0,0,13.89,48.67,36.3,9.7,2.7,5.01,0,857.7,140329
"7",-1.00061216224145,-1.00012483960612,107,5.65,1.41,0,192,11.8,0,4.22,0,0,0,0,0,0,13.77,54.83,41,10.2,3.6,5.03,0,850.8,140329
"8",-1.00065779185186,-1.00011217309627,108,5.13,1.72,0,182,12.6,11.2,4.09,0,0,0,0,0,0,12.63,57.96,40.6,13.6,3.7,5.17,0,838.1,140329
"9",-1.00066022619886,-1.00008931110115,109,4.79,1.93,0.11,172,20.5,0,3.55,0,0,0,0,0,0,13.64,52.49,35.1,14.2,3.2,4.87,0,824.1,140329
"10",-1.00061084575794,-1.00009632782889,110,4.12,1.03,0.27,122,19.4,0,3.87,0,0,0,0,0,0,13.54,40.32,30.4,7.6,2.3,4.78,0,833.7,140329
"11",-1.00057079127784,-1.00011012628274,111,5.52,1.78,0,173,12.6,9.9,4.22,0,0,0,0,0,0,13.89,55.72,39.7,12.8,3.2,5.13,0,843.9,140329
"12",-1.00051460059055,-1.00012532675709,112,4.81,1.27,0.11,211,17.5,0,4.36,0,0,0,0,0,0,15.14,43.73,31.8,8.4,3.6,4.92,0,851.4,140329
"13",-1.00046765324483,-1.0001374081012,113,4.47,1.33,0.38,141,10.1,0,3.94,0,0,0,0,0,0,13.83,44.54,32.3,9.6,2.6,4.89,0,855.2,140329
"14",-1.00041737275481,-1.00015426274539,114,4.09,1.27,0.13,162,9.2,0,4.39,0,0,0,0,0,0,14.11,40.89,29,9,2.9,4.8,0,860.2,140329
"15",-1.00032140548854,-1.00015390887892,115,4.39,1.21,0.09,167,19,8.7,4.36,0,0,0,0,0,0,13.95,43.23,31.5,8.7,3.1,4.89,0,867.5,140329
"16",-1.00036736641049,-1.00014215002876,116,4.58,1.37,0.08,155,16.2,0,4.09,0,0,0,0,0,0,13.18,48.18,34.8,10.4,3,4.93,0,856.9,140329
"17",-1.00042113109616,-1.00012711421144,117,3.91,1.06,0.32,153,16,0,4.02,0,0,0,0,0,0,14.34,37.38,27.3,7.4,2.7,4.75,0,852.4,140329
"18",-1.00046980676983,-1.00010999670058,118,4.56,1.25,0.08,166,20.4,0,4.22,0,0,0,0,0,0,13.37,46.67,34.1,9.3,3.2,4.97,0,843.2,140329
"19",-1.00051522440762,-1.00009840270231,119,5.42,1.59,0.06,139,13.5,0,4.14,0,0,0,0,0,0,14.2,51.9,38.2,11.2,2.5,4.93,0,841.7,140329
"20",-1.00056021684836,-1.00008242395557,120,3.64,1.16,0.1,151,21.8,8.1,3.75,0,0,0,0,0,0,11.61,44.7,31.4,10,3.4,4.97,0,826.1,140329
"21",-1.00060604549605,-1.00007021673165,121,3.79,1.04,0.1,147,13.3,0,3.31,0,0,0,0,0,0,11.76,44.3,32.2,8.8,3.2,4.96,0,816.2,140329
"22",-1.00052029923247,-1.00006592668533,122,4.01,1.13,0.12,186,22.5,0,3.75,0,0,0,0,0,0,12.1,46.45,33.1,9.3,4,4.99,0,823.4,140329
"23",-1.00046056259373,-1.00008025106737,123,3.23,0.8,0.42,148,14.5,0,3.77,0,0,0,0,0,0,13.39,32.94,24.1,6,2.8,4.66,0,832.8,140329
"24",-1.00041424574138,-1.00009677990499,124,5.54,2.37,0,230,17.6,0,4.07,0,0,0,0,0,0,12.94,65.69,42.8,18.3,4.6,5.48,0,836.6,140329
