"","Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","Latitude","Longitude","Rendimento.seco","Produtividade"
"1",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072110890141,-1.00014953565307,18.1,1
"11",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00072086186242,-1.00014979501459,15.1,1
"12",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071795414673,-1.00015300205581,7.9,0
"13",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.0007176728895,-1.00015317372936,7.9,0
"14",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071749470428,-1.00015359073436,7.5,0
"15",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071711746906,-1.00015403248685,7.9,0
"16",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071377785243,-1.00015794025235,7.6,0
"17",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071372276942,-1.00015809809069,7.3,0
"18",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071346237697,-1.00015831185447,6.3,0
"19",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071326332697,-1.00015850808065,6.2,0
